#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACAA1	EHHADH	9606.ENSP00000333664	9606.ENSP00000231887	0	0	0	0	0	0.251	0.900	0	0.921
ACAA1	ACADL	9606.ENSP00000333664	9606.ENSP00000233710	0	0	0	0	0	0.102	0.900	0	0.906
ACAA1	ACOX1	9606.ENSP00000333664	9606.ENSP00000293217	0	0	0	0	0	0.151	0.900	0	0.911
ACAA1	HMGCS1	9606.ENSP00000333664	9606.ENSP00000322706	0	0	0	0	0	0.345	0.900	0	0.931
ACAA1	SCP2	9606.ENSP00000333664	9606.ENSP00000360569	0	0	0	0.571	0	0.626	0.800	0	0.922
ACAA1	HMGCS2	9606.ENSP00000333664	9606.ENSP00000358414	0	0	0	0	0	0.345	0.900	0	0.931
ACAA1	ACOX3	9606.ENSP00000333664	9606.ENSP00000348775	0	0	0	0	0	0.102	0.900	0	0.906
ACADL	EHHADH	9606.ENSP00000233710	9606.ENSP00000231887	0	0	0	0	0	0.199	0.900	0	0.916
ACADL	ACSL6	9606.ENSP00000233710	9606.ENSP00000368566	0	0	0	0	0	0.137	0.900	0	0.910
ACADL	ACSBG1	9606.ENSP00000233710	9606.ENSP00000258873	0	0	0	0	0	0.137	0.900	0	0.910
ACADL	ACSL4	9606.ENSP00000233710	9606.ENSP00000339787	0	0	0	0	0	0.137	0.900	0	0.910
ACADL	ACSBG2	9606.ENSP00000233710	9606.ENSP00000465589	0	0	0	0	0	0.137	0.900	0	0.910
ACADL	SLC27A2	9606.ENSP00000233710	9606.ENSP00000267842	0	0	0	0	0	0	0.900	0	0.900
ACADL	ACSL5	9606.ENSP00000233710	9606.ENSP00000348429	0	0	0	0	0	0.137	0.900	0	0.910
ACADL	ACSL3	9606.ENSP00000233710	9606.ENSP00000350012	0	0	0	0	0	0.137	0.900	0	0.910
ACADL	ACSL1	9606.ENSP00000233710	9606.ENSP00000422607	0	0	0	0	0	0.137	0.900	0	0.910
ACADL	CPT2	9606.ENSP00000233710	9606.ENSP00000360541	0	0	0	0	0	0.397	0.900	0	0.937
ACADM	TBL1X	9606.ENSP00000359871	9606.ENSP00000217964	0	0	0	0	0	0.070	0.900	0	0.903
ACADM	CREBBP	9606.ENSP00000359871	9606.ENSP00000262367	0	0	0	0	0	0	0.900	0	0.900
ACADM	NCOA2	9606.ENSP00000359871	9606.ENSP00000399968	0	0	0	0	0	0	0.900	0	0.900
ACADM	NCOA1	9606.ENSP00000359871	9606.ENSP00000385216	0	0	0	0	0	0	0.900	0	0.900
ACADM	TBL1XR1	9606.ENSP00000359871	9606.ENSP00000405574	0	0	0	0	0	0.070	0.900	0	0.903
ACADM	RXRA	9606.ENSP00000359871	9606.ENSP00000419692	0	0	0	0	0	0.056	0.900	0	0.901
ACADM	PPARA	9606.ENSP00000359871	9606.ENSP00000385523	0	0	0	0	0	0.056	0.900	0	0.901
ACOX1	TBL1X	9606.ENSP00000293217	9606.ENSP00000217964	0	0	0	0	0	0.070	0.900	0	0.903
ACOX1	EHHADH	9606.ENSP00000293217	9606.ENSP00000231887	0	0	0	0	0	0.392	0.900	0	0.936
ACOX1	APOA1	9606.ENSP00000293217	9606.ENSP00000236850	0	0	0	0	0	0	0.900	0	0.900
ACOX1	ACSBG1	9606.ENSP00000293217	9606.ENSP00000258873	0	0	0	0	0	0.179	0.900	0	0.914
ACOX1	CREBBP	9606.ENSP00000293217	9606.ENSP00000262367	0	0	0	0	0	0	0.900	0	0.900
ACOX1	EP300	9606.ENSP00000293217	9606.ENSP00000263253	0	0	0	0	0	0	0.900	0	0.900
ACOX1	CPT1A	9606.ENSP00000293217	9606.ENSP00000265641	0	0	0	0	0	0	0.900	0	0.900
ACOX1	SLC27A2	9606.ENSP00000293217	9606.ENSP00000267842	0	0	0	0	0	0	0.900	0	0.900
ACOX1	RELA	9606.ENSP00000293217	9606.ENSP00000384273	0	0	0	0	0	0	0.900	0	0.900
ACOX1	SP1	9606.ENSP00000293217	9606.ENSP00000329357	0	0	0	0	0	0.057	0.900	0	0.901
ACOX1	TBL1XR1	9606.ENSP00000293217	9606.ENSP00000405574	0	0	0	0	0	0.070	0.900	0	0.903
ACOX1	NCOA1	9606.ENSP00000293217	9606.ENSP00000385216	0	0	0	0	0	0	0.900	0	0.900
ACOX1	NCOA2	9606.ENSP00000293217	9606.ENSP00000399968	0	0	0	0	0	0	0.900	0	0.900
ACOX1	ACOX2	9606.ENSP00000293217	9606.ENSP00000307697	0	0	0	0.918	0	0	0.900	0	0.900
ACOX1	APOA2	9606.ENSP00000293217	9606.ENSP00000356969	0	0	0	0	0	0	0.900	0	0.900
ACOX1	JUN	9606.ENSP00000293217	9606.ENSP00000360266	0	0	0	0	0	0	0.900	0	0.900
ACOX1	ME1	9606.ENSP00000293217	9606.ENSP00000358719	0	0	0	0	0	0	0.900	0	0.900
ACOX1	ACOX3	9606.ENSP00000293217	9606.ENSP00000348775	0	0	0	0.765	0	0	0.900	0	0.900
ACOX1	RXRA	9606.ENSP00000293217	9606.ENSP00000419692	0	0	0	0	0	0.056	0.900	0	0.901
ACOX1	NR1H3	9606.ENSP00000293217	9606.ENSP00000477707	0	0	0	0	0	0.056	0.900	0	0.901
ACOX1	LPL	9606.ENSP00000293217	9606.ENSP00000309757	0	0	0	0	0	0	0.900	0	0.900
ACOX1	ACSL4	9606.ENSP00000293217	9606.ENSP00000339787	0	0	0	0	0	0.137	0.900	0	0.910
ACOX1	ACSL3	9606.ENSP00000293217	9606.ENSP00000350012	0	0	0	0	0	0.137	0.900	0	0.910
ACOX1	ACSBG2	9606.ENSP00000293217	9606.ENSP00000465589	0	0	0	0	0	0.179	0.900	0	0.914
ACOX1	ACSL6	9606.ENSP00000293217	9606.ENSP00000368566	0	0	0	0	0	0.369	0.900	0	0.934
ACOX1	FABP1	9606.ENSP00000293217	9606.ENSP00000295834	0	0	0	0	0	0.121	0.900	0	0.908
ACOX1	ACSL5	9606.ENSP00000293217	9606.ENSP00000348429	0	0	0	0	0	0.244	0.900	0	0.921
ACOX1	ACSL1	9606.ENSP00000293217	9606.ENSP00000422607	0	0	0	0	0	0.244	0.900	0	0.921
ACOX1	CPT2	9606.ENSP00000293217	9606.ENSP00000360541	0	0	0	0	0	0.152	0.900	0	0.911
ACOX1	PPARA	9606.ENSP00000293217	9606.ENSP00000385523	0	0	0	0	0	0.056	0.900	0	0.901
ACOX1	SCP2	9606.ENSP00000293217	9606.ENSP00000360569	0	0	0	0	0	0.617	0.900	0	0.960
ACOX2	EHHADH	9606.ENSP00000307697	9606.ENSP00000231887	0	0	0	0	0	0.338	0.900	0	0.930
ACOX2	ACSBG1	9606.ENSP00000307697	9606.ENSP00000258873	0	0	0	0	0	0.179	0.900	0	0.914
ACOX2	SLC27A2	9606.ENSP00000307697	9606.ENSP00000267842	0	0	0	0	0	0	0.900	0	0.900
ACOX2	ACOX3	9606.ENSP00000307697	9606.ENSP00000348775	0	0	0	0.737	0	0	0.900	0	0.900
ACOX2	ACSBG2	9606.ENSP00000307697	9606.ENSP00000465589	0	0	0	0	0	0.179	0.900	0	0.914
ACOX2	ACSL3	9606.ENSP00000307697	9606.ENSP00000350012	0	0	0	0	0	0.137	0.900	0	0.910
